id,title,live_time,type,show_member,episode,remark
1,全团首播,2020-12-11,9,A B C D E,0,全团首播
2,来和嘉然一起玩吧~,2020-12-12,1,D,0,嘉然首播
3,今天和嘉然一起画画吧~,2020-12-15,1,D,0,
4,【向晚首播】夜之城，我来了！,2020-12-16,1,A,0,向晚首播
5,A-SOUL小剧场来啦,2020-12-19,4,A B C D E,1,
6,今天和嘉然一起画画吧~,2020-12-20,1,D,0,
7,首播100连，不中不下播！！！,2020-12-23,1,A,0,
8,平安夜惊喜在等你,2020-12-24,1,B,0,贝拉首播
9,【A-SOUL】陪你过圣诞~,2020-12-25,4,A B C D E,2,
10,首播来了，送礼物，真的送礼物！！！,2020-12-26,2,A D,0,
11,珈乐首播,2020-12-27,1,C,0,珈乐首播
12,小作文评选开始啦！,2020-12-30,1,D,0,
13,【A-SOUL】我们一起跨年叭~,2020-12-31,9,A B C D E,0,
14,【新年首播】一起跟我舞力全开,2021-01-02,1,B,0,
15,第四次首播！一起挥洒汗水吧！,2021-01-03,2,A D,0,
16,来和嘉然玩吖~,2021-01-06,2,A D,0,
17,贝拉舞蹈室首播,2021-01-07,10,A B,1,
18,【A-SOUL】期末应援加油会开始啦！,2021-01-08,4,A B C D E,3,
19,乃琳温柔夜谈，来听歌聊天？,2021-01-09,1,E,0,乃琳首播
20,【嘉然】一起来玩健身环吖！,2021-01-10,1,D,0,狗耳月牙最后一次出现
21,情人节 贝拉日记,2021-01-14,1,B,0,
22,【A-SOUL】跟我们一起high起来~,2021-01-15,4,A B C D E,4,
23,【嘉然】我又来打游戏啦~,2021-01-16,1,D,0,
24,乃琳温柔夜谈，来听歌聊天？,2021-01-16,1,E,0,
25,真·第五次首播！来看我游戏啊喂！,2021-01-17,1,A,0,
26,队长贝拉突击检查,2021-01-21,0,A B D E,0,
27,姐妹睡衣趴~,2021-01-22,4,A B C D E,5,
28,【嘉然】天下第一宅舞大会,2021-01-23,9,B D,0,
29,乃琳温柔夜谈,2021-01-23,1,E,0,
30,【向晚】一起来快乐的打游戏吧！,2021-01-24,1,A,0,
31,贝拉的心跳大挑战,2021-01-28,1,B,0,
32,各位导演，请指导我们吧！,2021-01-29,4,A B C D E,6,
33,【嘉然】大家来和然然猜谜叭！,2021-01-30,1,D,0,
34,大 的 来 了,2021-01-30,1,E,0,
35,【向晚】一起来快乐的打游戏吧！,2021-01-31,3,A E,1,
36,贝拉的舞蹈室又开课啦！,2021-02-04,10,B E,2,
37,【3D】一起来过小年夜！,2021-02-05,4,A B C D E,7,
38,【B限】出大事了啊啊啊！！！,2021-02-06,2,A D,0,
39,大 的 来 了,2021-02-06,1,E,0,
40,Happy 新年！,2021-02-14,1,A,0,
41,是新年哟~~！,2021-02-14,1,B,0,
42,新年快乐~,2021-02-14,1,C,0,
43,【B限】是新年捏~~~,2021-02-14,1,D,0,
44,今天是情人节呢,2021-02-14,1,E,0,
45,Happy 新年！,2021-02-15,1,A,0,
46,是新年哟~~！,2021-02-15,1,B,0,
47,新年快乐~,2021-02-15,1,C,0,
48,【B限】我来“抗压”啦~~~,2021-02-15,1,D,0,
49,今天也来聊天吧,2021-02-15,1,E,0,
50,Happy 新年！,2021-02-16,1,A,0,
51,是新年哟~~！,2021-02-16,1,B,0,
52,春节Happy！,2021-02-16,1,C,0,
53,【B限】轻松聊天吧,2021-02-16,1,D,0,
54,今天也来聊天吧,2021-02-16,1,E,0,
55,【B限】和贝拉一起玩耍,2021-02-17,2,B D,0,此次直播为双开直播间，此条根据嘉然直播记录编写
56,春节Happy！,2021-02-17,1,C,0,
57,今天也来聊天吧,2021-02-17,1,E,0,
58,【3D】燃！烧！吧！！！！！！！卡路里！,2021-02-20,4,A B C D E,8,
59,【3D】王力口乐的假期日常,2021-02-24,1,C,0,
60,【3D】那些小时候无法理解的过年习俗,2021-02-24,1,E,0,
61, 贝拉来啦~,2021-02-25,1,B,0,
62,【3D】和嘉然一起玩耍,2021-02-25,1,D,0,
63,【3D】尬活大赏！！！,2021-02-26,4,A B C D E,9,
64,大聪明评选,2021-02-27,5,A B C D E,1,
65,【3D】和向晚一起Phogs,2021-02-28,3,A D,2,
66,【3D】一起给嘉然挑个礼物吧,2021-03-03,1,C,0,
67,【3D】然然来了,2021-03-03,1,D,0,
68,兄弟们想我了吗！,2021-03-03,1,A,0,
69,细说练武,2021-03-04,1,B,0,
70,【3D】然然来画画了,2021-03-04,1,D,0,
71,【3D】那些年被鸽过的我们,2021-03-04,1,E,0,
72,【3D】新学期晚会,2021-03-05,4,A B C D,10,
73,【3D】A-SOUL夜谈会来喽,2021-03-06,5,A B C D,2,
74,【3D】来和嘉然过生日吖,2021-03-07,6,A B C D E,0,神乐七奈客串
75,测试直播,2021-03-10,0,,0,
76,【3D】《我要你》陪我练歌,2021-03-10,1,C,0,
77,【3D】一起练练琴！,2021-03-10,1,A,0,
78, 我来扒舞了！,2021-03-11,1,B,0,
79,【3D】我又来画画了！,2021-03-11,1,D,0,
80,【3D】天使姐姐不拔枪,2021-03-11,1,E,0,
81,【3D】A-SOUL告白大作战,2021-03-12,4,A B C D E,11,
82,小小梦魇2,2021-03-13,3,A E,3,
83,【3D】白色情人节,2021-03-14,5,A B C D E,3,
84,音频测试,2021-03-17,0,A C,0,
85,【3D】民谣- 陪我练歌了哦,2021-03-17,1,C,0,
86,【3D】弹弹琴聊聊天啦！ 呜呼~,2021-03-17,1,A,0,
87,【3D】今天我来打ff14,2021-03-18,1,B,0,
88,【3D】来和我一起画画吧,2021-03-18,1,D,0,
89,【3D】游戏，歌舞会,2021-03-19,4,A B C D E,12,
90,【3D】A-SOUL夜谈会呦~,2021-03-20,5,A B C D E,4,
91,【3D】今天是三人竞技！,2021-03-21,9,A B D,0,
92,【3D】Disco陪我练歌啦,2021-03-24,1,C,0,直播事故，提前结束
93,请开发我的粤语歌技能~,2021-03-24,1,E,0,
94,【3D】我看我自己 之 表情包鉴赏！,2021-03-24,1,A,0,
95,【3D】来聊聊广场舞呀！,2021-03-25,1,B C,0,
96,【3D】小小小小小歌回,2021-03-25,1,C,0,
97,【3D】和然然一起查重叭！,2021-03-25,1,D,0,
98,【3D】今天是一日外拍呦~,2021-03-26,4,A B C D E,13,
99,【3D】一起来聊天呀,2021-03-27,5,A B C D E,5,
100,测试直播,2021-03-27,0,,0,
101,【3D】“人生有梦”歌舞会,2021-04-01,9,A B C D E,0,
102,【3D】月考来袭！,2021-04-02,4,A B C D E,14,
103,【3D】四月 陪我练歌乐！,2021-04-07,1,C,0,
104,【3D】美食嘉,2021-04-07,1,D,0,
105,【3D】绝不上墙卢西奥！,2021-04-07,1,E,0,
106,【3D】“妈”音披露,2021-04-08,1,B,0,
107,【3D】我看我自己之终于【小向晚】,2021-04-08,1,A,0,
108,【3D】春季运动会,2021-04-09,4,A B C D E,15,
109,【3D】一起来聊聊人生初体验！,2021-04-10,5,A B C D E,6,
110,【3D】霜月花再续《小小梦魇2》,2021-04-11,3,A E,4,
111,【3D】诶？表情包说话啦！,2021-04-14,1,E,0,
112,【3D】我看我自己 之 食神小向晚,2021-04-14,1,A,0,
113,【3D】MMD扒舞~,2021-04-15,1,B,0,
114,【3D】如果我是一只鹅~嗝~,2021-04-15,1,D,0,
115,【3D】高萌预警！！！,2021-04-16,4,A B D E,16,
116,【3D】那些年，浪费过的钱！,2021-04-17,5,A B D E,7,
117,【3D】只只大冒险！默契大考验！,2021-04-18,3,A D E,5,
118,【3D】向晚变成了一只鹅？是的，我是一,2021-04-21,1,A,0,
119,【3D】对不起~我跳错《Quiet》了！,2021-04-22,1,B,0,
120,【3D】各位指导，请教我画画,2021-04-22,1,D,0,
121,【3D】贝拉的舞蹈教室~第三期！,2021-04-23,4,A B D,17,此时贝拉的舞蹈教室不是独立节目，而是归类于小剧场中
122,【3D】三人夜谈,2021-04-24,5,A B D,8,
123,【3D】一起剪纸吧,2021-04-25,3,A D,6,
124,【3D】测试直播21_20开始,2021-04-28,0,A,0,
125,【3D】你们听五月天吗？来听我弹吉他呀~,2021-04-28,1,A,0,
126,【3D】毕嘉然来啦！,2021-04-29,1,D,0,
127,萤火虫测试直播录像,2021-05-01,0,A B C D E,0,
128,【3D】五一特别企划,2021-05-01,7,A B C D E,0,
129,【3D】贝拉的健身环大冒险,2021-05-02,1,B,0,
130,【3D】游戏挑战！输了我就......,2021-05-03,1,E,0,
